roi_number,blob_number,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,ConvexPerimeter,FeretDiameter,BoundingBox_xwidth,BoundingBox_ywidth,shapehist_mean_normEqD,shapehist_mode_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,shapehist_kurtosis_normEqD,Biovolume
56,1,2128,106.0232332,42.64453791,0.9155435734,27.27690276,3849,52.0524135,0.5528708756,0.3429492345,364.569,246.8210187,128.5,85,73,0.7316790729,0.01921140506,0.6734960769,0.4509170233,2.406934162,32196.20703
56,2,916,49.44419391,26.57284834,0.8433076514,29.53434188,1250,34.15095054,0.7328,0.413730804,160.435,142.8542361,181.5,54,41,0.469488023,0.269964505,0.4392264274,0.4651669926,2.707374662,1638.442017
56,3,335,39.93072141,17.06296001,0.9041032385,37.90730712,668,20.65272978,0.501497006,0.3067765568,149.782,106.0894439,94.5,39,28,1.162041885,0.04841974938,1.150924304,0.08695251528,2.100048434,12200.05957
89,1,30840,296.3160518,146.069135,0.8700573778,6.853484323,39722,198.1582892,0.7763959519,0.6024143454,1257.52,759.4378496,320.5,286,179,0.6364633993,0.005046470699,0.6288882548,0.1763385473,2.427996042,1949671.375
89,2,769,32.34973542,31.0892469,0.2764246819,88.35139077,858,31.29091258,0.8962703963,0.7509765625,109.092,108.1711361,365.5,32,32,0.4255430436,0.2946396796,0.4346779748,-0.03657014965,2.163372163,3162.013006
89,3,283,26.81904409,18.57246853,0.721407835,-48.59806608,482,18.98227571,0.5871369295,0.375331565,104.892,82.83892378,285.5,29,26,1.033739361,0.05268072255,1.139658278,-0.4323651912,1.953996308,11447.73242
92,1,437,56.45340201,33.2164422,0.8085795298,-32.38213101,1294,23.58825303,0.3377125193,0.2154832347,261.068,142.1068657,80.5,52,39,0.9246024503,0.7642683989,0.864670988,0.3088793891,2.325128456,1748.558838
92,2,249,23.14220969,14.18929356,0.7899783202,-4.901433457,273,17.80552293,0.9120879121,0.7217391304,60.546,62.82257687,149.5,23,15,0.7604289875,0.05616234941,0.7322674467,0.1653116916,2.264396642,2999.435586
92,3,245,39.16290118,17.00174066,0.9008508442,-33.05632691,470,17.66192765,0.5212765957,0.3673163418,110.954,83.28830218,121.5,29,23,0.630248482,0.05661896139,0.6794275367,-0.1155365478,2.17009009,1950.605957
109,1,14388,291.7054923,129.2144134,0.8965404466,-15.98777678,30376,135.3490693,0.4736634185,0.2919642857,1705.255,706.1290857,301.5,280,176,0.7225204078,0.00738830348,0.6743218415,0.5951429248,3.026980463,368144.1562
109,2,965,82.08581477,22.77523599,0.960738225,-60.53707871,1896,35.05247724,0.5089662447,0.2896158463,279.7,184.1165893,354.5,49,68,0.8071479719,0.5143076266,0.7200306773,0.6150341114,2.772193045,7235.51123
109,3,248,32.29581836,13.38823581,0.9100264759,-50.25036025,412,17.76973289,0.6019417476,0.2980769231,95.158,87.23080835,377.5,26,32,0.8089192615,0.05627546604,0.7654290917,0.5188289804,2.674393455,1348.899658
109,4,239,36.37808656,14.28480813,0.9196767999,-8.766420411,429,17.44431859,0.5571095571,0.3428981349,103.717,90.74066296,348.5,41,17,0.824754194,0.1281831655,0.7712324202,0.3913622138,2.2824566,1624.651245
124,1,12124,188.1841513,95.37792957,0.8620442885,9.475334671,16907,124.2447433,0.7170994263,0.5064327485,983.176,511.0503403,226.5,210,114,0.6627116023,0.008048630255,0.6399546847,0.3242171712,2.368780346,444556.6562
124,2,246,33.7708276,11.05839175,0.9448671303,-30.48176733,355,17.6979357,0.6929577465,0.3346938776,85.035,83.34488894,77.5,35,21,0.7853856746,0.5209389736,0.7079901464,0.4402367676,2.334279251,1442.58313
164,1,5110,127.0351999,86.56086244,0.7319179867,-41.28072863,9777,80.66135428,0.5226552112,0.3245680894,642.219,403.9451671,154.5,128,123,0.7608328675,0.01239751067,0.7451924933,0.1971479105,2.376195721,98397.46875
164,2,2075,69.16840765,48.69265015,0.7102273268,-66.28603777,3344,51.40011727,0.6205143541,0.4586648983,376.81,224.6544575,179.5,58,78,0.658985505,0.17936816,0.6626205258,0.09494390409,2.103683222,34711.37109
168,1,6717,181.7011593,69.14729228,0.9247582712,-7.770501974,11254,92.47891664,0.5968544518,0.3721742021,636.163,445.3470914,221.5,188,96,0.1882177025,0.01081327546,0.1746938114,0.2860693793,2.29011247,4101.389648
168,2,461,40.12390725,15.39640941,0.9234488306,-43.88918172,602,24.22732817,0.7657807309,0.4268518519,106.827,100.6662804,102.5,36,30,2.941942529,0.04127570292,2.658360357,0.4690775617,2.451012882,155922.0469
174,1,6504,201.3985449,62.80518717,0.9501328942,9.724008809,11374,91.00082417,0.5718304906,0.3430922614,791.208,479.1752029,215.5,213,89,0.800587402,0.01098891146,0.7236846909,0.6742477663,2.935534357,132673.6875
174,2,874,45.87536746,25.80769629,0.8267557261,-61.6121208,1052,33.35882735,0.8307984791,0.5712418301,129.951,125.2236148,118.5,34,45,0.4787609856,0.02997707292,0.4658515654,0.211979541,2.322387731,3696.252197
174,3,432,37.57569752,16.17805106,0.9025688286,-72.78244426,539,23.45292057,0.8014842301,0.5217391304,96.422,93.73465072,128.5,23,36,0.9459412566,0.04263861283,0.9723099702,-0.00945024034,2.187676532,11741.84375
174,4,324,22.89984587,19.97678619,0.4888736326,-8.341142901,412,20.31082501,0.786407767,0.5634782609,83.141,76.04227259,127.5,25,23,0.6361680401,0.04923482919,0.6910437583,-0.2763739978,2.050326876,4200.309378
174,5,273,42.77831858,16.5185408,0.9224390053,75.74683205,582,18.6438836,0.4690721649,0.2993421053,128.809,98.81648157,142.5,24,38,0.8474192162,0.2681844677,0.7735622798,0.3607765975,2.202974135,1348.073242
174,6,223,22.47716032,13.40951237,0.8025507015,-36.14367385,259,16.85029431,0.861003861,0.5056689342,63.499,63.65950066,244.5,21,21,0.6474049886,0.714622211,0.6635100657,-0.07132442494,2.140998226,1682.322866
183,1,8503,115.4968981,102.8707727,0.4546308479,-6.885586821,11353,104.0497758,0.7489650313,0.5087351921,602.523,401.0508647,156.5,137,122,0.6656319162,0.009610784762,0.7228562502,-0.3072402684,1.950614055,584938.634
183,2,297,28.9231159,22.03738917,0.6476594038,-49.68325438,525,19.44613444,0.5657142857,0.4074074074,112.128,86.51209226,176.5,27,27,0.7400465396,0.05142410194,0.73628109,0.007463157769,2.074816297,1952.53894
218,1,982,42.94551003,32.56894868,0.6518145055,49.1619766,1423,35.35988169,0.6900913563,0.4264003474,175.809,148.9709444,92.5,47,49,0.3754048776,0.02828063761,0.4078691561,-0.3602030251,1.993779145,5276.304862
218,2,358,24.40550654,19.12453125,0.6212462266,-36.6105223,386,21.34993576,0.9274611399,0.6509090909,70.793,72.50576235,50.5,25,22,1.182276809,0.04683854842,1.229456135,0.06974502885,2.260035001,31716.73403
218,3,209,26.69333708,13.281099,0.8674389702,-4.083114537,306,16.31278838,0.6830065359,0.4213709677,81.156,72.64720799,85.5,31,16,0.7146645195,0.5651728105,0.6743175809,0.307682395,2.494341478,1101.219604
236,1,19405,208.8676119,189.8337115,0.4170773767,19.47451857,35020,157.1852836,0.554111936,0.4030616484,1471.743,720.2712793,256.5,236,204,0.7061937315,0.006361918733,0.7144069328,0.004138476205,2.134174624,653297.375
236,2,194,18.15417078,14.71781436,0.5854443927,11.03272376,234,15.71650316,0.8290598291,0.5511363636,58.148,58.30731498,175.5,22,16,0.6369661252,0.06362738515,0.6763683818,-0.1701271896,2.153685834,1518.17465
236,3,171,19.18584275,13.56890546,0.7069782286,-6.993572464,229,14.75547228,0.7467248908,0.5310559006,62.159,57.97635794,267.5,23,14,0.6571557942,0.7577080338,0.6911360636,0.0302300933,2.348290199,999.3114014
